"subject","list","block_order","starting_lang","lang_switch","item_number","label","cs","word_order","condition","mlwo","mlwo_condition","cwh","cwh_condition","adj_type","word_number","word","tokenized_word","rt","word_surprisal","word_length","rt_by_length","response","continue","exit","verb","sentence","total_surprisal","subj_mean_rt","subj_sd_rt","rt_upperbound","eng_prof","span_prof","cs_own_speech","med_split_span_prof","centered_span_prof"
"1",1,"EngSpan","English","English --> English",148,"eng5d","noCS","AdjN","noCS_AdjN","MLWO","noCS_MLWO","CWH","noCS_CWH","Mandatory",1,"The",NA,262,NA,3,87.33333333,"Go","continue","no","devours","The boy devours the German dinner at the table.",NA,437.3745763,212.9484511,638.8453532,83.33333333,54.44444444,"Yes","low_proficiency",-18.61794038
"1",1,"EngSpan","English","English --> English",148,"eng5d","noCS","AdjN","noCS_AdjN","MLWO","noCS_MLWO","CWH","noCS_CWH","Mandatory",2,"boy"," boy",375,7.7161984,3,125,"Go","continue","no","devours","The boy devours the German dinner at the table.",56.9427417,437.3745763,212.9484511,638.8453532,83.33333333,54.44444444,"Yes","low_proficiency",-18.61794038
"1",1,"EngSpan","English","English --> English",148,"eng5d","noCS","AdjN","noCS_AdjN","MLWO","noCS_MLWO","CWH","noCS_CWH","Mandatory",3,"devours"," dev_ours",372,13.9035604,7,53.14285714,"Go","continue","no","devours","The boy devours the German dinner at the table.",56.9427417,437.3745763,212.9484511,638.8453532,83.33333333,54.44444444,"Yes","low_proficiency",-18.61794038
"1",1,"EngSpan","English","English --> English",148,"eng5d","noCS","AdjN","noCS_AdjN","MLWO","noCS_MLWO","CWH","noCS_CWH","Mandatory",4,"the"," the",421,0.5449531,3,140.3333333,"Go","continue","no","devours","The boy devours the German dinner at the table.",56.9427417,437.3745763,212.9484511,638.8453532,83.33333333,54.44444444,"Yes","low_proficiency",-18.61794038
"1",1,"EngSpan","English","English --> English",148,"eng5d","noCS","AdjN","noCS_AdjN","MLWO","noCS_MLWO","CWH","noCS_CWH","Mandatory",5,"German"," German",550,12.10157,6,91.66666667,"Go","continue","no","devours","The boy devours the German dinner at the table.",56.9427417,437.3745763,212.9484511,638.8453532,83.33333333,54.44444444,"Yes","low_proficiency",-18.61794038
"1",1,"EngSpan","English","English --> English",148,"eng5d","noCS","AdjN","noCS_AdjN","MLWO","noCS_MLWO","CWH","noCS_CWH","Mandatory",6,"dinner"," dinner",976,7.949159,6,162.6666667,"Go","continue","no","devours","The boy devours the German dinner at the table.",56.9427417,437.3745763,212.9484511,638.8453532,83.33333333,54.44444444,"Yes","low_proficiency",-18.61794038
"1",1,"EngSpan","English","English --> English",148,"eng5d","noCS","AdjN","noCS_AdjN","MLWO","noCS_MLWO","CWH","noCS_CWH","Mandatory",7,"at"," at",345,9.495283,2,172.5,"Go","continue","no","devours","The boy devours the German dinner at the table.",56.9427417,437.3745763,212.9484511,638.8453532,83.33333333,54.44444444,"Yes","low_proficiency",-18.61794038
"1",1,"EngSpan","English","English --> English",148,"eng5d","noCS","AdjN","noCS_AdjN","MLWO","noCS_MLWO","CWH","noCS_CWH","Mandatory",8,"the"," the",262,0.5726857,3,87.33333333,"Go","continue","no","devours","The boy devours the German dinner at the table.",56.9427417,437.3745763,212.9484511,638.8453532,83.33333333,54.44444444,"Yes","low_proficiency",-18.61794038
"1",1,"EngSpan","English","English --> Spanish",165,"eng8k","CS","NAdj","CS_NAdj","notMLWO","CS_notMLWO","CWH","CS_CWH","Mandatory",1,"A",NA,273,NA,1,273,"Go","continue","no","dances","A cousin dances a vals alemán en la boda.",NA,437.3745763,212.9484511,638.8453532,83.33333333,54.44444444,"Yes","low_proficiency",-18.61794038
"1",1,"EngSpan","English","English --> Spanish",165,"eng8k","CS","NAdj","CS_NAdj","notMLWO","CS_notMLWO","CWH","CS_CWH","Mandatory",2,"cousin"," cousin",346,10.580834,6,57.66666667,"Go","continue","no","dances","A cousin dances a vals alemán en la boda.",74.69668228,437.3745763,212.9484511,638.8453532,83.33333333,54.44444444,"Yes","low_proficiency",-18.61794038
"1",1,"EngSpan","English","English --> Spanish",165,"eng8k","CS","NAdj","CS_NAdj","notMLWO","CS_notMLWO","CWH","CS_CWH","Mandatory",3,"dances"," dances",372,12.998221,6,62,"Go","continue","no","dances","A cousin dances a vals alemán en la boda.",74.69668228,437.3745763,212.9484511,638.8453532,83.33333333,54.44444444,"Yes","low_proficiency",-18.61794038
"1",1,"EngSpan","English","English --> Spanish",165,"eng8k","CS","NAdj","CS_NAdj","notMLWO","CS_notMLWO","CWH","CS_CWH","Mandatory",4,"a"," a",536,4.877022,1,536,"Go","continue","no","dances","A cousin dances a vals alemán en la boda.",74.69668228,437.3745763,212.9484511,638.8453532,83.33333333,54.44444444,"Yes","low_proficiency",-18.61794038
"1",1,"EngSpan","English","English --> Spanish",165,"eng8k","CS","NAdj","CS_NAdj","notMLWO","CS_notMLWO","CWH","CS_CWH","Mandatory",5,"vals"," v_als",361,9.507109,4,90.25,"Go","continue","no","dances","A cousin dances a vals alemán en la boda.",74.69668228,437.3745763,212.9484511,638.8453532,83.33333333,54.44444444,"Yes","low_proficiency",-18.61794038
"1",1,"EngSpan","English","English --> Spanish",165,"eng8k","CS","NAdj","CS_NAdj","notMLWO","CS_notMLWO","CWH","CS_CWH","Mandatory",7,"en"," en",440,13.583422,2,220,"Go","continue","no","dances","A cousin dances a vals alemán en la boda.",74.69668228,437.3745763,212.9484511,638.8453532,83.33333333,54.44444444,"Yes","low_proficiency",-18.61794038
"1",1,"EngSpan","English","English --> Spanish",165,"eng8k","CS","NAdj","CS_NAdj","notMLWO","CS_notMLWO","CWH","CS_CWH","Mandatory",8,"la"," la",514,0.87311596,2,257,"Go","continue","no","dances","A cousin dances a vals alemán en la boda.",74.69668228,437.3745763,212.9484511,638.8453532,83.33333333,54.44444444,"Yes","low_proficiency",-18.61794038
"1",1,"EngSpan","English","English --> Spanish",160,"eng7j","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","notCWH","CS_notCWH","Preferred",1,"The",NA,198,NA,3,66,"Go","continue","no","peels","The niece peels an amarilla zanahoria en el lavabo.",NA,437.3745763,212.9484511,638.8453532,83.33333333,54.44444444,"Yes","low_proficiency",-18.61794038
"1",1,"EngSpan","English","English --> Spanish",160,"eng7j","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","notCWH","CS_notCWH","Preferred",2,"niece"," niece",475,13.097522,5,95,"Go","continue","no","peels","The niece peels an amarilla zanahoria en el lavabo.",83.27889377,437.3745763,212.9484511,638.8453532,83.33333333,54.44444444,"Yes","low_proficiency",-18.61794038
"1",1,"EngSpan","English","English --> Spanish",160,"eng7j","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","notCWH","CS_notCWH","Preferred",3,"peels"," pe_els",379,13.5782611,5,75.8,"Go","continue","no","peels","The niece peels an amarilla zanahoria en el lavabo.",83.27889377,437.3745763,212.9484511,638.8453532,83.33333333,54.44444444,"Yes","low_proficiency",-18.61794038
"1",1,"EngSpan","English","English --> Spanish",160,"eng7j","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","notCWH","CS_notCWH","Preferred",4,"an"," an",395,3.8469377,2,197.5,"Go","continue","no","peels","The niece peels an amarilla zanahoria en el lavabo.",83.27889377,437.3745763,212.9484511,638.8453532,83.33333333,54.44444444,"Yes","low_proficiency",-18.61794038
"1",1,"EngSpan","English","English --> Spanish",160,"eng7j","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","notCWH","CS_notCWH","Preferred",5,"amarilla"," am_ar_illa",243,19.9461036,8,30.375,"Go","continue","no","peels","The niece peels an amarilla zanahoria en el lavabo.",83.27889377,437.3745763,212.9484511,638.8453532,83.33333333,54.44444444,"Yes","low_proficiency",-18.61794038
"1",1,"EngSpan","English","English --> Spanish",160,"eng7j","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","notCWH","CS_notCWH","Preferred",7,"en"," en",495,10.51506,2,247.5,"Go","continue","no","peels","The niece peels an amarilla zanahoria en el lavabo.",83.27889377,437.3745763,212.9484511,638.8453532,83.33333333,54.44444444,"Yes","low_proficiency",-18.61794038
"1",1,"EngSpan","English","English --> Spanish",160,"eng7j","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","notCWH","CS_notCWH","Preferred",8,"el"," el",370,2.4643254,2,185,"Go","continue","no","peels","The niece peels an amarilla zanahoria en el lavabo.",83.27889377,437.3745763,212.9484511,638.8453532,83.33333333,54.44444444,"Yes","low_proficiency",-18.61794038
