word,gram_cat,type,language,freq_per_mill,date_searched
green,adj,no_change,english,93.74598104,2/22/22
red,adj,no_change,english,143.1344193,2/22/22
Swiss,adj,post_nom,english,7.98513644,2/22/22
German,adj,post_nom,english,38.83543852,2/22/22
green,adj,no_change,english,93.74598104,2/22/22
Dutch,adj,post_nom,english,12.48089405,2/22/22
red,adj,no_change,english,143.1344193,2/22/22
Dutch,adj,post_nom,english,12.48089405,2/22/22
white,adj,no_change,english,250.1889611,2/22/22
yellow,adj,no_change,english,41.02191624,2/22/22
German,adj,post_nom,english,38.83543852,2/22/22
green,adj,no_change,english,93.74598104,2/22/22
grey,adj,no_change,english,30.99207369,2/22/22
German,adj,post_nom,english,38.83543852,2/22/22
white,adj,no_change,english,250.1889611,2/22/22
white,adj,no_change,english,250.1889611,2/22/22
red,adj,no_change,english,143.1344193,2/22/22
grey,adj,no_change,english,30.99207369,2/22/22
green,adj,no_change,english,93.74598104,2/22/22
yellow,adj,no_change,english,41.02191624,2/22/22
verde,adj,no_change,spanish,48.31407895,2/22/22
rojo,adj,no_change,spanish,72.84394737,2/22/22
estadounidense,adj,post_nom,spanish,189.5822368,2/22/22
alemana,adj,post_nom,spanish,71.24907895,2/22/22
verde,adj,no_change,spanish,48.31407895,2/22/22
estadounidense,adj,post_nom,spanish,189.5822368,2/22/22
roja,adj,no_change,spanish,72.84394737,2/22/22
estadounidense,adj,post_nom,spanish,189.5822368,2/22/22
blanco,adj,no_change,spanish,123.2505263,2/22/22
amarillo,adj,no_change,spanish,37.06671053,2/22/22
aleman,adj,post_nom,spanish,71.24907895,2/22/22
verde,adj,no_change,spanish,48.31407895,2/22/22
negro,adj,no_change,spanish,77.83328947,2/22/22
alemana,adj,no_change,spanish,71.24907895,2/22/22
blanca,adj,no_change,spanish,123.2505263,2/22/22
blanco,adj,no_change,spanish,123.2505263,2/22/22
roja,adj,no_change,spanish,72.84394737,2/22/22
negro,adj,no_change,spanish,77.83328947,2/22/22
verde,adj,no_change,spanish,48.31407895,2/22/22
amarillo,adj,no_change,spanish,37.06671053,2/22/22
avocado,noun,congruent,english,2.44,2/22/22
wine,noun,congruent,english,51.3,2/22/22
water,noun,congruent,english,322.58,2/22/22
dinner,noun,congruent,english,84.89,2/22/22
gum,noun,congruent,english,7.02,3/3/22
tune,noun,congruent,english,10.78,2/22/22
magazine,noun,congruent,english,59.46,2/22/22
book,noun,congruent,english,300.74,2/22/22
chicken,noun,congruent,english,45.2,2/22/22
carrot,noun,congruent,english,4.36,2/22/22
waltz,noun,congruent,english,1.58,2/22/22
juice,noun,congruent,english,26.34,2/22/22
plane,noun,congruent,english,53.92,2/22/22
turkey,noun,congruent,english,34.87,4/14/22
pill,noun,congruent,english,9.9,2/22/22
fish,noun,congruent,english,77.21,2/22/22
meat,noun,congruent,english,42.81,2/22/22
smoke,noun,congruent,english,28.91,2/22/22
dye,noun,congruent,english,3.81,2/22/22
soup,noun,congruent,english,19.28,2/22/22
aguacate,noun,congruent,spanish,3.52,2/22/22
vino,noun,congruent,spanish,20.68,2/22/22
agua,noun,congruent,spanish,232.83,2/22/22
cena,noun,congruent,spanish,16.43,2/22/22
chicle,noun,congruent,spanish,1.23,3/3/22
canción,noun,congruent,spanish,47.67,4/17/22
revista,noun,congruent,spanish,59.38,2/22/22
libro,noun,congruent,spanish,92.14,2/22/22
pollo,noun,congruent,spanish,12.1,2/22/22
zanahoria,noun,congruent,spanish,2.03,2/22/22
vals,noun,congruent,spanish,0.79,2/22/22
jugo,noun,congruent,spanish,5.18,2/22/22
avión,noun,congruent,spanish,47.06,2/22/22
pavo,noun,congruent,spanish,2.28,2/22/22
pastilla,noun,congruent,spanish,1.64,2/22/22
pez,noun,congruent,spanish,4.64,2/22/22
carne,noun,congruent,spanish,40.04,2/22/22
humo,noun,congruent,spanish,15.74,2/22/22
tinte,noun,congruent,spanish,1.87,2/22/22
sopa,noun,congruent,spanish,3.89,2/22/22
